dt_min,mean_m,std_m,n
119,32.42761747213739,12.04202267744501,4
120,27.275906663782557,8.562978634290138,28
239,76.91771975651628,3.8702860309608225,2
240,110.26960991318325,44.71651202115594,32
359,215.95622718217112,144.22787199063842,3
360,231.77400804680124,115.95618173764224,30
479,311.45029215247706,209.48190231811694,6
480,324.6101798663962,174.69057815161295,31
569,52.30638699430749,0.0,1
599,355.25827044469094,231.4880083135843,8
600,392.6956192996251,207.64795792250402,27
719,449.4345359937086,192.55376656972447,5
720,350.2106842415585,211.73045452047836,29
794,383.7751908269642,206.3984448677198,2
839,338.32040632093907,141.03424850761505,3
840,337.63480078519774,214.2214393449418,31
929,473.69150333118506,0.0,1
959,358.82451207908707,243.54576568243024,2
960,377.7419814673536,232.3696232373559,30
1079,263.124628547613,0.0,1
1080,497.8539779661649,260.97401548532787,32
1094,418.8156255717876,240.5464865224304,2
1199,496.3317635950173,331.8626247738005,5
1200,622.7517514054716,313.21157282821935,32
1319,535.4949611272411,359.3129992432128,5
1320,707.3206336760891,382.5522793691927,27
1349,824.0908289903559,0.0,1
1439,853.946745027849,462.4727214204187,4
1440,679.8192453067936,420.5701137176641,32
1544,1722.5873002140333,0.0,1
1559,723.4611470705735,487.83331337737985,5
1560,661.4464820722827,434.49722364296304,28
1679,488.01922605870806,475.34030536947085,3
1680,759.545508618188,463.4209531623148,31
1799,935.8057121866865,551.0647450578349,4
1800,895.1233354677414,488.4503751626544,30
1829,2014.7553009812593,0.0,1
1919,1127.6813947043738,593.1344966211935,4
1920,1011.5352352670105,531.0815790747196,30
1934,235.05437043052,0.0,1
2039,1366.7737292494921,434.79615960952805,6
2040,1076.009856790767,608.9544839341012,30
2159,1368.0293333471543,562.4907808985203,7
2160,978.4021074579424,663.927025592669,28
2219,1476.2044786429335,0.0,1
2234,579.7904051234386,0.0,1
2279,1035.2487762380065,783.9750391411117,6
2280,989.1848956778521,637.1090780741678,29
2354,1217.116659310654,0.0,1
2399,998.7903633277525,622.2999884541744,3
2400,1050.4494752820253,671.4369395228696,29
2519,608.182857120179,121.44187801046745,2
2520,1185.8307573667928,655.4188641967695,32
2534,1440.4074973923812,0.0,1
2549,539.2745289544599,0.0,1
2639,1032.6524198693585,663.4369548351052,6
2640,1363.6621737524358,709.8185949519467,30
2759,669.4959063835474,73.63886815280108,2
2760,1443.7340842602175,799.6230693293587,30
2849,1725.411251195502,0.0,1
2879,1490.3109995525174,859.9879089935108,3
2880,1382.972318130784,873.9158678791208,32
2939,722.4261585391617,0.0,1
2999,1113.4821750792885,713.9856022869347,4
3000,1380.8309566807764,924.4094784140842,29
3119,318.12563628841406,240.6060093836455,2
3120,1463.5548640721454,905.6587099446049,31
3239,1456.9735340920404,1046.6191958492384,3
3240,1630.7109045212228,891.5616670894865,31
3269,3661.5209240838226,0.0,1
3359,1939.359586176305,1024.4753592532286,4
3360,1722.7318921151368,932.3305395272355,30
3374,416.2519770488063,0.0,1
3479,2024.8776149284474,993.9100535234195,9
3480,1808.092472463436,1046.0377324565354,30
3599,2139.099396484917,1049.9961340207906,8
3600,1663.1234526231146,1123.9061853921837,25
3659,2408.9648281454406,0.0,1
3719,2071.337529583772,1124.499490228593,3
3720,1693.1218278350818,1143.1846125819934,31
3794,1979.3188059707327,0.0,1
3839,1257.0864197627643,1091.6488105272288,4
3840,1740.883278869839,1122.001322810148,30
3914,1387.5109937669358,1038.8402982918897,2
3959,927.9335186408358,214.6480399137089,3
3960,1971.6464523509349,1087.7297731514504,30
4079,1664.9022636234083,1173.90728867164,5
4080,2093.1641648603527,1133.9925788027988,31
4199,1002.9728549013837,38.85511463333309,2
4200,2211.680658504978,1263.5125747013233,30
4274,2763.4175754837547,0.0,1
4319,1702.4069186668203,801.8969582381688,2
4320,2110.541575209003,1367.4707025428354,32
4379,891.531685197614,0.0,1
4439,2045.889915387563,1057.2549752079476,3
4440,2125.85948490284,1424.751323892662,30
4559,359.2494239695058,229.83660111052413,2
4560,2149.414078309478,1384.9171105929295,32
4679,1778.8259691966246,1418.1078744125,4
4680,2439.5461810494185,1319.883211948497,30
4709,5409.8623321972955,0.0,1
4799,2339.5288046381147,1635.1572102929263,5
4800,2525.8674834861013,1360.9261610622475,29
4919,3326.6973266946848,1330.2103065558001,7
4920,2513.4165042335258,1532.035427652836,31
5039,3011.252197731251,1609.2746778395965,8
5040,2329.108405711354,1618.358868209943,26
5099,3326.9587912268444,0.0,1
5159,2483.9094191247773,1748.1505108979497,4
5160,2467.3809035492736,1657.4219734419091,30
5234,2737.796722361352,0.0,1
5279,3287.7436303180307,1366.132194234263,4
5280,2463.044247925617,1621.9861462669658,30
5354,957.446362406553,0.0,1
5399,2316.2093631643,1048.946168175766,4
5400,2623.5838843121064,1567.8525190318262,31
5414,3331.8712812110452,0.0,1
5519,2207.0206633732437,1492.8492797282636,6
5520,2928.453779140231,1651.2784023300062,29
5639,2596.6347012129413,2187.183102446027,3
5640,2936.383299591463,1762.1585337487563,29
5714,3900.0889589946473,0.0,1
5759,2093.276760829286,1587.3756655756317,2
5760,2865.209523962244,1905.336730679566,32
5834,934.1271035368735,0.0,1
5879,2298.0089157248926,1563.4976862466767,4
5880,2901.082823219286,1950.4243639843748,30
5999,1490.9692419309497,1564.3973268616628,4
6000,2914.187332805216,1945.5624246981897,30
6119,2298.8601450980254,1933.5973843178433,4
6120,3252.9568260097553,1792.542118556082,30
6134,7297.75575464648,0.0,1
6239,3642.3075239295345,2064.0982144270583,4
6240,3229.176622735934,1889.9008843479385,30
6269,750.7366707023555,0.0,1
6359,3836.120543666835,2266.4877595015546,7
6360,3358.4880686042443,2055.2509050407,30
6479,3937.3124644528043,2194.016972953828,8
6480,3050.374669776217,2171.669621240336,26
6554,4275.7333322847135,0.0,1
6599,3362.6560952673944,2296.536319520275,4
6600,3233.260554523896,2211.15937562495,30
6674,3490.532226625735,0.0,1
6719,3653.0368527521287,2647.6195276707117,2
6720,3214.8291749662076,2165.069940573353,30
6839,2212.892390277154,692.2113025739858,4
6840,3501.3784964885585,2077.731827518268,31
6869,4442.178708635666,0.0,1
6959,3353.1835720684635,2266.986475125792,7
6960,3752.0847099682765,2198.911098126985,29
7079,3317.4377351282833,2870.832208770249,3
7080,3843.6519283134694,2359.341818990368,27
7139,5170.75673391124,0.0,1
7199,2584.1887705408326,2349.4507398026763,2
11399,5053.638131941703,5720.626264144691,3
11400,5174.541097374837,1689.9453434142506,2
11504,9556.596478384683,0.0,1
11519,7830.244085278516,0.0,1
11520,6286.691586537556,4470.067726895517,32
11579,48.877879668721974,0.0,1
11639,6843.550196246491,2109.959626552193,3
11640,6228.394868565169,4462.954234806778,31
11759,3563.137138445506,3468.608689118681,4
11760,6350.506626057536,4422.230575241047,30
11879,4649.5733484059,4200.7233464121,4
11880,6962.6232491758,4134.444786132757,30
11909,15639.2115425926,0.0,1
11999,6261.134197609342,5095.162632257219,5
12000,6872.641814606786,4441.783863936105,29
12119,7680.518806561072,5132.203987561301,7
12120,7086.547923152019,4582.042409618742,31
12239,9302.657808398502,4102.065060365741,7
12240,6280.12780129436,4876.607177131679,26
12299,7665.122438824858,0.0,1
12359,9297.775246076742,3936.1318173832724,3
12360,6625.610691095861,4732.178843503915,31
12434,6412.361439144667,0.0,1
12479,8196.039021985907,4957.767548471544,2
12480,6724.7641434255975,4637.32355413468,30
12524,8553.316618167242,0.0,1
12599,7740.120689076791,5227.908569552303,3
12600,7061.291472389329,4542.983955270469,32
12629,3971.3975477405147,0.0,1
12644,9464.431490374254,0.0,1
12719,5688.724491480046,4286.450562127649,6
12720,7213.734282332255,4779.614244675604,29
12839,2819.4698483515463,1713.999902786967,3
12840,7830.319032756433,5015.7019777942605,29
12944,11289.760714440035,0.0,1
12959,9199.369887907169,0.0,1
12960,7535.219394677529,5238.770029413714,27
197160,654272.9896072169,322372.5009759499,5
197279,920186.7794310115,42290.1062417565,2
197280,914503.8972278145,577337.2201002478,31
197399,1192449.5428281398,805582.726657463,9
197400,915240.8879190461,583544.0296937552,31
197519,1158701.801752873,842157.9780914056,9
197520,813671.0734791636,425292.0751077942,24
197564,1279242.8777822147,0.0,1
197639,807393.2551713533,274296.7735566281,3
197640,921458.526123485,594731.9997743522,31
197759,862889.9559818347,211710.8231445061,4
197760,912871.6983637251,598871.7790226183,30
197879,824962.1469278791,336168.6794001288,8
197880,919959.4838985814,592371.1852569438,30
197894,1118899.2852729692,0.0,1
197999,780190.4047466337,372245.8829154162,7
198000,959381.5413170013,616156.2072909058,25
198059,1068336.1888176105,0.0,1
198074,221913.77372805256,0.0,1
198120,922809.3016919369,577584.8846863011,32
198239,379804.69469421223,453032.67327862396,2
198240,921491.9938776414,587066.2549451053,32
198269,1220772.2436059795,0.0,1
198359,543781.8977101083,282539.84122844855,3
198360,926276.8063550788,598838.0290210637,31
198374,1758376.348372824,0.0,1
198479,518567.4783298963,349383.99422570696,4
198480,947049.4388034808,589981.1168338063,30
198584,1080531.5184472252,0.0,1
198599,534360.4609855345,496060.692653921,2
198600,947433.2598435152,580097.2781353296,30
198719,827147.3116850475,158150.2514218031,3
198720,975747.5406994878,600403.209703091,27
